=== HAZE Phase 1: baseline + debate (VULNERABLE/SAFE) ===
Output: results/raw_phase1.jsonl
Conditions: baseline,debate | repeats: 3 | rounds: 1
Dataset: 20 artifacts | conditions: baseline, debate | repeats: 3 | rounds: 1
Total tasks: 120 | concurrency: 4
Models: {"prosecutor_analyst":"deepseek/deepseek-chat","defense_auditor":"google/gemini-2.5-flash","prosecutor_lead":"openai/gpt-4o-mini","defense_counsel":"meta-llama/llama-3.1-70b-instruct","judge":"anthropic/claude-sonnet-4-5","baseline":"openai/gpt-4o-mini"}
[1/120] CVE-2026-10520__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[2/120] CVE-2026-10520__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[3/120] CVE-2026-10520__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[4/120] CVE-2026-10520__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[5/120] CVE-2026-10520__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[6/120] CVE-2026-10520__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[7/120] CVE-2026-10520__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[8/120] CVE-2026-10520__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[9/120] CVE-2026-10520__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[10/120] CVE-2026-24061__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[11/120] CVE-2026-10520__patched | debate r1 -> SAFE (pred=0, label=0)
[12/120] CVE-2026-24061__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[13/120] CVE-2026-24061__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[14/120] CVE-2026-24061__vulnerable | debate r1 -> SAFE (pred=0, label=1)
[15/120] CVE-2026-10520__patched | debate r2 -> SAFE (pred=0, label=0)
[16/120] CVE-2026-24061__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[17/120] CVE-2026-24061__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[18/120] CVE-2026-24061__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[19/120] CVE-2026-24061__vulnerable | debate r2 -> SAFE (pred=0, label=1)
[20/120] CVE-2026-24061__vulnerable | debate r3 -> SAFE (pred=0, label=1)
[21/120] CVE-2026-24061__patched | debate r1 -> SAFE (pred=0, label=0)
[22/120] CVE-2026-32625__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[23/120] CVE-2026-32625__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[24/120] CVE-2026-24061__patched | debate r2 -> SAFE (pred=0, label=0)
[25/120] CVE-2026-32625__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[26/120] CVE-2026-10520__patched | debate r3 -> SAFE (pred=0, label=0)
[27/120] CVE-2026-24061__patched | debate r3 -> SAFE (pred=0, label=0)
[28/120] CVE-2026-32625__patched | baseline r1 -> SAFE (pred=0, label=0)
[29/120] CVE-2026-32625__patched | baseline r2 -> SAFE (pred=0, label=0)
[30/120] CVE-2026-32625__patched | baseline r3 -> SAFE (pred=0, label=0)
[31/120] CVE-2026-32625__vulnerable | debate r2 -> INCONCLUSIVE (pred=0, label=1)
[32/120] CVE-2026-32625__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[33/120] CVE-2026-32625__patched | debate r3 -> SAFE (pred=0, label=0)
[34/120] CVE-2026-32625__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[35/120] CVE-2026-41089__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[36/120] CVE-2026-41089__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[37/120] CVE-2026-41089__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[38/120] CVE-2026-32625__patched | debate r2 -> VULNERABLE (pred=1, label=0)
[39/120] CVE-2026-32625__patched | debate r1 -> VULNERABLE (pred=1, label=0)
[40/120] CVE-2026-41089__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[41/120] CVE-2026-41089__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[42/120] CVE-2026-41089__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[43/120] CVE-2026-41089__vulnerable | debate r1 -> VULNERABLE (pred=1, label=1)
[44/120] CVE-2026-41089__vulnerable | debate r2 -> VULNERABLE (pred=1, label=1)
[45/120] CVE-2026-41089__vulnerable | debate r3 -> VULNERABLE (pred=1, label=1)
[46/120] CVE-2026-42945__vulnerable | baseline r1 -> VULNERABLE (pred=1, label=1)
[47/120] CVE-2026-41089__patched | debate r1 -> SAFE (pred=0, label=0)
[48/120] CVE-2026-42945__vulnerable | baseline r2 -> VULNERABLE (pred=1, label=1)
[49/120] CVE-2026-42945__vulnerable | baseline r3 -> VULNERABLE (pred=1, label=1)
[50/120] CVE-2026-41089__patched | debate r3 -> VULNERABLE (pred=1, label=0)
[51/120] CVE-2026-42945__vulnerable | debate r2 -> SAFE (pred=0, label=1)
[52/120] CVE-2026-41089__patched | debate r2 -> SAFE (pred=0, label=0)
[53/120] CVE-2026-42945__patched | baseline r1 -> VULNERABLE (pred=1, label=0)
[54/120] CVE-2026-42945__patched | baseline r2 -> VULNERABLE (pred=1, label=0)
[55/120] CVE-2026-42945__patched | baseline r3 -> VULNERABLE (pred=1, label=0)
[56/120] CVE-2026-42945__vulnerable | debate r1 -> SAFE (pred=0, label=1)
[57/120] CVE-2026-42945__vulnerable | debate r3 -> SAFE (pred=0, label=1)
